interaction_id,user_id,session_id,request_ts,intent,tool_used,model_name,input_tokens,output_tokens,latency_ms,response_status,resolved_by_agent,escalated_to_human,satisfaction_score
I00000041,U004912,S000031_01,2026-01-01 11:38:00,Homework Help,none,navi-mini,260,521,2561,success,1,0,
I00000018,U004769,S000019_01,2026-01-01 16:53:00,Study Plan,none,navi-pro,210,336,2269,success,0,0,4.0
I00000001,U000959,S000003_01,2026-01-01 17:01:00,Summarization,none,navi-mini,397,547,3145,success,1,0,
I00000061,U004106,S000044_04,2026-01-02 09:25:00,Quiz Generation,none,navi-mini,199,684,2803,success,1,0,
I00000003,U000959,S000003_03,2026-01-02 09:40:00,Study Plan,none,navi-mini,267,448,2574,success,0,0,
I00000103,U000675,S000087_01,2026-01-02 09:42:00,Homework Help,none,navi-mini,297,343,1977,success,1,0,
I00000054,U002987,S000033_02,2026-01-02 11:21:00,Homework Help,calculator,navi-mini,579,806,4502,success,1,0,
I00000053,U002987,S000033_01,2026-01-02 11:52:00,Study Plan,none,navi-mini,611,491,2554,success,1,0,
I00000094,U000885,S000076_01,2026-01-02 14:37:00,Summarization,document_reader,navi-mini,120,755,3946,success,1,0,
I00000030,U001083,S000023_01,2026-01-02 18:17:00,Summarization,none,navi-mini,427,861,3377,error,0,1,
I00000060,U004106,S000044_03,2026-01-02 18:23:00,Summarization,document_reader,navi-mini,320,291,2969,success,1,0,4.0
I00000002,U000959,S000003_02,2026-01-02 23:01:00,Homework Help,calculator,navi-mini,166,1545,7088,success,1,0,
I00000095,U000885,S000076_02,2026-01-03 07:24:00,Flashcards,none,navi-mini,209,431,1929,success,1,0,5.0
I00000055,U002987,S000033_03,2026-01-03 08:01:00,Summarization,document_reader,navi-pro,427,580,4688,success,0,0,
I00000284,U002498,S000175_01,2026-01-03 09:35:00,General Q&A,none,navi-mini,157,832,3454,success,1,0,
I00000272,U003557,S000166_01,2026-01-03 09:47:00,Homework Help,calculator,navi-mini,183,342,2207,success,1,0,
I00000247,U004138,S000145_01,2026-01-03 10:39:00,Summarization,document_reader,navi-pro,244,339,2982,success,0,0,5.0
I00000181,U004094,S000127_03,2026-01-03 10:53:00,Homework Help,calculator,navi-pro,265,661,5152,success,1,0,
I00000222,U002833,S000136_03,2026-01-03 10:56:00,Homework Help,none,navi-mini,1076,541,3240,success,1,0,
I00000180,U004094,S000127_01,2026-01-03 13:10:00,Quiz Generation,none,navi-mini,189,1037,3883,success,0,0,5.0
I00000182,U004094,S000127_04,2026-01-03 13:28:00,Summarization,document_reader,navi-mini,305,448,3598,success,1,0,
I00000031,U001083,S000023_02,2026-01-03 14:01:00,Flashcards,flashcard_maker,navi-mini,369,293,3107,success,1,0,
I00000221,U002833,S000136_01,2026-01-03 15:30:00,Summarization,none,navi-mini,412,847,2934,success,0,0,5.0
I00000262,U002964,S000155_01,2026-01-03 16:07:00,Quiz Generation,none,navi-pro,411,649,3681,success,0,0,
I00000255,U001682,S000153_01,2026-01-03 16:24:00,General Q&A,web_search,navi-mini,311,493,3556,timeout,0,1,
I00000119,U004938,S000093_02,2026-01-03 17:25:00,Summarization,none,navi-mini,349,784,3296,success,1,0,
I00000196,U001533,S000131_01,2026-01-03 17:43:00,Flashcards,flashcard_maker,navi-mini,401,725,3768,success,1,0,
I00000169,U002149,S000123_01,2026-01-03 18:39:00,Homework Help,none,navi-mini,144,295,1881,success,1,0,
I00000073,U000077,S000056_01,2026-01-03 20:02:00,Homework Help,calculator,navi-mini,286,932,5426,success,0,0,
I00000266,U001739,S000164_01,2026-01-03 20:03:00,Flashcards,none,navi-mini,225,297,1473,success,0,0,
I00000299,U004419,S000182_01,2026-01-03 20:32:00,General Q&A,web_search,navi-mini,201,455,3037,timeout,0,1,
I00000256,U001682,S000153_02,2026-01-03 20:34:00,Summarization,document_reader,navi-pro,511,379,4394,success,1,0,4.0
I00000193,U000690,S000130_01,2026-01-03 20:36:00,Homework Help,calculator,navi-mini,370,638,3775,success,1,0,3.0
I00000414,U002477,S000236_01,2026-01-04 07:10:00,Homework Help,none,navi-mini,223,539,2822,success,1,0,
I00000009,U001269,S000011_01,2026-01-04 07:25:00,Summarization,none,navi-pro,161,1184,4710,success,1,0,
I00000188,U004043,S000129_02,2026-01-04 07:52:00,Homework Help,none,navi-mini,173,172,1362,success,1,0,
I00000316,U001654,S000187_01,2026-01-04 08:29:00,Quiz Generation,quiz_generator,navi-mini,334,876,4659,success,1,0,4.0
I00000185,U002744,S000128_02,2026-01-04 08:50:00,Study Plan,calendar_planner,navi-mini,195,210,1697,success,1,0,
I00000070,U003477,S000052_02,2026-01-04 09:03:00,Summarization,document_reader,navi-mini,405,921,4840,success,1,0,3.0
I00000361,U001593,S000204_01,2026-01-04 10:34:00,Homework Help,none,navi-mini,186,587,2156,success,1,0,3.0
I00000206,U003785,S000133_01,2026-01-04 10:38:00,Quiz Generation,none,navi-mini,352,403,2062,timeout,0,1,
I00000415,U002477,S000236_02,2026-01-04 11:04:00,Quiz Generation,quiz_generator,navi-mini,269,646,4791,success,0,0,4.0
I00000353,U000703,S000203_01,2026-01-04 11:43:00,Quiz Generation,none,navi-mini,589,384,2342,success,0,0,
I00000035,U000856,S000025_01,2026-01-04 11:56:00,Quiz Generation,none,navi-pro,547,872,5030,success,0,0,5.0
I00000300,U004419,S000182_02,2026-01-04 12:01:00,Quiz Generation,none,navi-mini,352,827,2999,success,1,0,
I00000324,U003641,S000191_01,2026-01-04 12:18:00,Homework Help,none,navi-mini,314,453,2212,success,1,0,
I00000401,U002013,S000225_01,2026-01-04 12:53:00,Summarization,none,navi-mini,314,374,2427,timeout,0,1,
I00000214,U004003,S000135_02,2026-01-04 14:34:00,Summarization,document_reader,navi-mini,196,158,1339,success,1,0,
I00000254,U001635,S000150_01,2026-01-04 19:39:00,Homework Help,none,navi-mini,99,1045,3581,success,0,0,
I00000347,U002253,S000201_01,2026-01-04 21:44:00,Summarization,document_reader,navi-mini,624,303,4534,success,1,0,
I00000116,U004661,S000090_01,2026-01-04 23:03:00,Summarization,none,navi-mini,127,249,869,success,1,0,
I00000042,U004912,S000031_04,2026-01-05 07:11:00,Summarization,document_reader,navi-mini,219,275,2190,success,1,0,5.0
I00000366,U002241,S000205_01,2026-01-05 07:26:00,Summarization,none,navi-pro,314,516,3821,success,1,0,
I00000466,U000708,S000263_01,2026-01-05 07:40:00,Homework Help,calculator,navi-mini,157,574,2907,success,1,0,
I00000056,U002987,S000033_04,2026-01-05 07:58:00,Flashcards,none,navi-mini,179,405,1986,success,1,0,4.0
I00000367,U002241,S000205_02,2026-01-05 08:31:00,General Q&A,none,navi-mini,399,444,2884,success,1,0,
I00000207,U003785,S000133_02,2026-01-05 09:46:00,General Q&A,web_search,navi-mini,251,152,1741,success,1,0,
I00000208,U003785,S000133_03,2026-01-05 10:07:00,Summarization,document_reader,navi-mini,168,192,1742,success,1,0,5.0
I00000416,U002477,S000236_03,2026-01-05 11:09:00,Homework Help,none,navi-pro,287,375,2896,success,1,0,5.0
I00000436,U004503,S000243_01,2026-01-05 11:41:00,Summarization,none,navi-mini,254,480,1815,success,1,0,
I00000503,U000600,S000271_01,2026-01-05 12:45:00,Homework Help,calculator,navi-mini,182,536,3018,success,1,0,
