subscription_id,user_id,trial_started_at,paid_started_at,cancelled_at,monthly_price_usd,subscription_status
SUB0000413,U000001,,,,,never_subscribed
SUB0004675,U000002,,,,,never_subscribed
SUB0004146,U000003,,,,,never_subscribed
SUB0003449,U000004,2026-03-21 12:00:00,2026-03-28 12:00:00,,14.99,active
SUB0002990,U000005,2026-02-27 11:00:00,2026-03-06 11:00:00,2026-04-10 11:00:00,14.99,cancelled
SUB0000647,U000006,,,,,never_subscribed
SUB0003925,U000007,2026-03-30 18:00:00,2026-04-06 18:00:00,,14.99,active
SUB0002021,U000008,,,,,never_subscribed
SUB0001020,U000009,,,,,never_subscribed
SUB0004938,U000010,,,,,never_subscribed
SUB0004354,U000011,,,,,never_subscribed
SUB0001427,U000012,,,,,never_subscribed
SUB0000858,U000013,,,,,never_subscribed
SUB0004781,U000014,2026-04-03 10:00:00,2026-04-10 10:00:00,,14.99,active
SUB0000575,U000015,,,,,never_subscribed
SUB0001351,U000016,,,,,never_subscribed
SUB0001625,U000017,2026-01-29 10:00:00,2026-02-05 10:00:00,,14.99,active
SUB0002362,U000018,,,,,never_subscribed
SUB0000664,U000019,,,,,never_subscribed
SUB0001830,U000020,,,,,never_subscribed
SUB0003948,U000021,,,,,never_subscribed
SUB0000582,U000022,,,,,never_subscribed
SUB0000041,U000023,,,,,never_subscribed
SUB0003002,U000024,,,,,never_subscribed
SUB0003814,U000025,,,,,never_subscribed
SUB0000017,U000026,,,,,never_subscribed
SUB0003536,U000027,2026-03-16 11:00:00,2026-03-23 11:00:00,,14.99,active
SUB0004088,U000028,,,,,never_subscribed
SUB0001034,U000029,,,,,never_subscribed
SUB0003638,U000030,,,,,never_subscribed
SUB0002599,U000031,2026-03-12 08:00:00,2026-03-19 08:00:00,,14.99,active
SUB0003324,U000032,,,,,never_subscribed
SUB0000209,U000033,,,,,never_subscribed
SUB0004796,U000034,,,,,never_subscribed
SUB0002962,U000035,,,,,never_subscribed
SUB0004932,U000036,,,,,never_subscribed
SUB0000490,U000037,,,,,never_subscribed
SUB0003333,U000038,,,,,never_subscribed
SUB0000893,U000039,,,,,never_subscribed
