user_id,signup_ts,country_code,device_os,acquisition_channel,app_version_at_signup,marketing_consent
U000606,2026-01-01 08:06:54,UK,Android,Organic,3.5.0,1
U001912,2026-01-01 08:10:16,US,iOS,Paid Social,3.6.1,1
U000959,2026-01-01 08:32:28,UK,iOS,Organic,3.4.2,1
U002163,2026-01-01 08:50:29,US,iOS,Referral,3.5.0,1
U004366,2026-01-01 09:53:42,US,Android,Influencer,3.6.1,1
U001123,2026-01-01 10:09:46,CA,Android,Organic,3.6.1,1
U000497,2026-01-01 10:38:22,CA,iOS,Influencer,3.6.1,1
U001731,2026-01-01 10:52:53,US,Android,Search,3.6.1,1
U002237,2026-01-01 11:40:22,US,iOS,Referral,3.6.1,0
U001550,2026-01-01 11:56:10,CA,Android,Organic,3.6.1,1
U001269,2026-01-01 12:05:19,CA,Android,Paid Social,3.6.1,1
U001769,2026-01-01 12:14:43,UK,iOS,Organic,3.5.0,1
U003516,2026-01-01 12:39:13,AU,iOS,Influencer,3.6.1,1
U001837,2026-01-01 12:49:39,US,Android,Referral,3.5.0,0
U004665,2026-01-01 13:28:04,US,iOS,Referral,3.4.2,1
U004315,2026-01-01 13:38:46,US,iOS,Organic,3.5.0,1
U000026,2026-01-01 13:46:23,AU,Android,Paid Social,3.5.0,1
U000387,2026-01-01 13:50:08,US,iOS,Paid Social,3.5.0,1
U004769,2026-01-01 14:00:01,US,iOS,Referral,3.6.1,1
U001934,2026-01-01 14:16:37,US,Android,Organic,3.5.0,1
U004118,2026-01-01 14:37:39,US,iOS,Organic,3.6.1,1
U002734,2026-01-01 14:44:01,US,Android,Organic,3.6.1,1
U001083,2026-01-01 15:12:32,CA,iOS,Search,3.5.0,0
U003119,2026-01-01 15:25:49,US,iOS,Influencer,3.6.1,0
U000856,2026-01-01 15:34:28,US,Android,Organic,3.6.1,1
U003277,2026-01-01 16:01:47,US,Android,Paid Social,3.5.0,1
U003802,2026-01-01 16:43:14,US,Android,Paid Social,3.6.1,1
U000162,2026-01-01 16:44:35,US,Android,Paid Social,3.6.1,1
U000181,2026-01-01 16:56:05,CA,iOS,Search,3.6.1,1
U002046,2026-01-01 16:59:16,US,Android,Influencer,3.5.0,1
U004912,2026-01-01 18:00:37,CA,Android,Organic,3.5.0,1
U000498,2026-01-01 18:07:50,US,iOS,Organic,3.6.1,1
U002987,2026-01-01 19:04:38,CA,iOS,Referral,3.5.0,1
U004548,2026-01-01 19:17:19,US,iOS,Organic,3.4.2,1
U002031,2026-01-01 19:28:55,CA,iOS,Influencer,3.6.1,1
U001706,2026-01-01 20:08:52,UK,iOS,Paid Social,3.6.1,1
U000124,2026-01-01 20:17:17,AU,iOS,Organic,3.6.1,1
U004873,2026-01-01 20:30:10,US,iOS,Search,3.6.1,1
U002505,2026-01-01 20:33:09,US,Android,Paid Social,3.6.1,1
U003369,2026-01-01 21:03:57,US,Android,Search,3.5.0,1
